Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
ERSP,120 - 180,12 - 25,Parieto-Occipital Left,0.08286620171068769,0.08013657424982311,2.7786647765330325e-05,-0.01,0.01,0.804854293637202,0.69,0.88,46.42944145578747,39.087747696742234,53.77113521483273,0.8064601530968674,0.69,0.88,0.0363751467840225
ERSP,120 - 180,12 - 25,Parieto-Occipital Midline,0.047219387720353674,0.059580101759581346,0.0024012035146143,-0.01,0.02,0.5627228207837403,0.35,0.72,-53.923504733949336,-45.54530427476629,-62.30170519313242,0.5655987701437127,0.36,0.72,0.0396938589568482
ERSP,120 - 180,12 - 25,Parieto-Occipital Right,0.02964091444779641,0.05387239370977107,0.0087537249229853,-0.01,0.02,0.5189256188240507,0.3,0.69,-1394.8134970192625,-1176.390154515592,-1613.2368395229332,0.4831837186943087,0.26,0.66,0.0430668945435109
ERSP,120 - 180,12 - 25,Temporal Left,0.05656416721893384,0.05800885887151931,-0.002068621068739,-0.02,0.01,0.5384463859268538,0.32,0.7,-145.54816707418678,-122.81732372352155,-168.27901042485198,0.5424121141522034,0.33,0.7,0.0424102267842725
ERSP,120 - 180,12 - 25,Temporal Right,0.046020892130329484,0.05903930066847627,0.0041367600551031,-0.01,0.02,0.608461339835245,0.41,0.75,-42.34693804360473,-35.78216121264692,-48.91171487456255,0.5967464127121584,0.4,0.74,0.0377386628161786
GERSP,120 - 180,12 - 25,Global,0.07045770447088813,0.06251187268772855,0.0046099007561172,-0.01,0.02,0.7607611928487853,0.62,0.85,70.05167088947425,59.009647822765366,81.09369395618315,0.7521277839904208,0.61,0.85,0.0320986794024158
GITC,120 - 180,12 - 25,Global,0.2113275772321384,0.07307896989719302,0.0009027399699355,-0.01,0.02,0.6453344940140142,0.46,0.78,15.414403067457632,12.931093054486178,17.89771308042909,0.6429480154483022,0.46,0.77,0.0417715636489917
GRSP,120 - 180,12 - 25,Global,45.068713955255575,6.487381623116902,0.5397592795927635,-0.32,1.4,0.8848392366665062,0.81,0.93,3.855411661823115,3.1827721778706457,4.528051145775586,0.8821234104798784,0.81,0.93,2.2940011343671505
ITC,120 - 180,12 - 25,Anterior-Frontal Left,0.2092243746214482,0.08979294951450756,-0.0015508696140224,-0.02,0.02,0.5707997169195991,0.36,0.72,21.13991173261787,17.759723312193405,24.52010015304233,0.5737183934984922,0.37,0.73,0.0531518356795094
ITC,120 - 180,12 - 25,Anterior-Frontal Midline,0.23325434525671762,0.09127742579423417,-0.004299073539776,-0.03,0.02,0.5631186924341075,0.35,0.72,22.128201073064357,18.593201015526144,25.663201130602577,0.5640635179611859,0.36,0.72,0.0559563844702067
ITC,120 - 180,12 - 25,Anterior-Frontal Right,0.22702771777221667,0.09080789999699138,0.0016703738666153,-0.02,0.02,0.5112893031784247,0.29,0.68,24.002943701718905,20.174272586899196,27.831614816538604,0.5153417749414193,0.29,0.68,0.0577484061383282
ITC,120 - 180,12 - 25,Centro-Parietal Left,0.28721645503413235,0.12247958583675721,0.0088786023784176,-0.02,0.04,0.6198092109244936,0.43,0.76,23.002495489126904,19.330540650907853,26.67445032734595,0.6181027477179529,0.43,0.76,0.0699353988935975
ITC,120 - 180,12 - 25,Centro-Parietal Midline,0.19563346070569868,0.08589825007279261,0.0087192050370169,-0.01,0.03,0.4382816618999647,0.2,0.63,20.71879126836071,17.404569711915883,24.033012824805542,0.4371185011011173,0.2,0.63,0.0571549000812919
ITC,120 - 180,12 - 25,Centro-Parietal Right,0.1846736511515357,0.07121086899947013,0.0015363730336932,-0.01,0.02,0.6642885630781008,0.49,0.79,19.19603513226986,16.12034733381005,22.27172293072967,0.6627609698078477,0.49,0.79,0.0412652303218149
ITC,120 - 180,12 - 25,Fronto-Central Left,0.20991687061513015,0.09003191758780554,0.008073809847023,-0.01,0.03,0.6618396095241466,0.48,0.79,16.74306881066498,14.051628536175208,19.434509085154748,0.6408558388616453,0.46,0.77,0.0495213887221638
ITC,120 - 180,12 - 25,Fronto-Central Midline,0.2509549758083838,0.10567769388708997,-0.0025526573694431,-0.03,0.02,0.5347722220741485,0.32,0.7,21.345575830811896,17.933170938516398,24.75798072310739,0.5364943485032452,0.32,0.7,0.0727682218609955
ITC,120 - 180,12 - 25,Fronto-Central Right,0.23019988238920033,0.08827826065441373,-0.0054176560066854,-0.03,0.02,0.5519505191085023,0.34,0.71,21.138601194386116,17.758618064619817,24.51858432415241,0.5522851360819592,0.34,0.71,0.0602235258681241
